id;name;order_num;parentid;create_dept_group;auto_add_user;dept_hiding;dept_permits;user_permits;outer_dept;outer_permit_depts;outer_permit_users;org_dept_owner;dept_manager_userid_list;source_identifier;ext;is_leaf
1;architectures Investment Account;32949;55713;true;false;true;Uzbekistan Soft;Assurance;true;Future;Fresh;Intranet;hard drive Nigeria;navigating;application Botswana Concrete;true
2;Internal Total Face to face;13052;45424;true;false;false;Mauritius;Multi-lateral;true;Courts Crossroad Money Market Account;South Carolina;Cambridgeshire;real-time Infrastructure;Research Saint Pierre and Miquelon generate;bypassing;false
3;programming;66266;61924;true;false;false;Savings Account;Tugrik user-facing;true;Quality-focused exploit;Progressive Advanced;Computer Configuration;bus circuit XML;Table;Paradigm Facilitator;true
4;Falkland Islands Pound RAM 24/7;23112;71128;true;true;false;International Corporate deposit;withdrawal Clothing global;false;array Strategist;Frozen Grocery artificial intelligence;embrace Guam;withdrawal;Cotton Illinois payment;Soft;false
5;Music;77201;99431;false;true;false;parsing invoice;Rhode Island Unbranded Concrete Soap Avon;false;Sports back up;Avon Practical Frozen Hat;navigating Optimized District;Ergonomic Personal Loan Account Zloty;United States of America Credit Card Account;out-of-the-box North Dakota global;true
6;hack;19786;87906;true;false;false;array policy;AI transmitting;false;program;Handcrafted Sports;neural Frozen Belarus;Total encompassing;Clothing;intermediate invoice Multi-layered;false
7;Turks and Caicos Islands Hat Fish;72239;48915;false;true;false;haptic Specialist;leverage Louisiana Handmade Granite Fish;false;driver Tuna Nevada;Washington target;solution collaborative;bifurcated;Representative Virginia;mindshare Automotive;true
8;application Bahamian Dollar Bahamas;31345;38281;true;true;true;navigating magnetic Concrete;Response Cotton throughput;false;Buckinghamshire;Frozen;invoice;Regional contextually-based;mobile;plum;true
9;PNG Outdoors optical;45987;90347;false;false;false;Frozen;Manor incremental;false;Architect Frozen Towels;synergy;Hat pixel;coherent solid state;Rand blue Jewelery;program;true
10;TCP copying;46367;77283;false;false;true;Dynamic;high-level Maryland Accountability;false;copying;5th generation withdrawal Lead;Delaware;card Berkshire;payment;Cameroon tan Berkshire;true
