id;name;total_people;signd_people;attendance;order_num;parent_id;day;is_leaf
1;Montana impactful Florida;18326;28109;9011;70802;2379;2020-09-28T04:54:50;true
2;architect algorithm;90379;88122;26185;81791;47004;2020-09-28T05:38:56;false
3;synthesizing transmit firmware;91925;97890;68844;7273;81247;2020-09-28T00:16:18;true
4;Director Brand Licensed Concrete Computer;66125;76879;19724;27083;41799;2020-09-28T07:12:28;true
5;Ergonomic Concrete Pizza Customer;1612;17975;83671;54780;31782;2020-09-27T22:22:19;true
6;port Credit Card Account Bacon;24367;51586;23416;34154;20057;2020-09-27T09:41:11;false
7;online Generic Cotton Tuna Granite;3721;28150;25842;41600;91967;2020-09-28T07:26:32;true
8;bluetooth Usability silver;77424;36009;53187;12361;43480;2020-09-28T06:34:34;true
9;Practical Soft Chips Refined Bike;16080;85218;14115;17895;17639;2020-09-28T00:23:10;false
10;solid state AI;76400;50962;31882;13438;7112;2020-09-28T04:52:03;false
